ChemBL ID,SMILES,Compound Key,Ki,database,Assay ChEMBL ID,Document ChEMBL ID
CHEMBL244449,c1ccc(CCN2CC3CCC(OCc4ccccc4)C2CN3Cc2ccccc2)cc1,13c,628.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL396978,CN1CC2CC[C@@H](O)C1CN2Cc1ccccc1,8a(2S),2890.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL429103,CCCCN1CC2CCC(OCc3ccccc3)C1CN2Cc1ccccc1,13b,820.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL244652,COC1CCC2CN(CCc3ccccc3)C1CN2Cc1ccccc1,12c,297.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL244650,CCCCN1CC2CCC(OC)C1CN2Cc1ccccc1,12b,219.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL242077,O[C@H]1CCC2CN(CCc3ccccc3)C1CN2Cc1ccccc1,8c(R),588.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL395304,O[C@@H]1CCC2CN(CCc3ccccc3)C1CN2Cc1ccccc1,8c(2S),343.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL390022,CN1CC2CC[C@H](O)C1CN2Cc1ccccc1,8a(2R),4180.0,CHEMBL,CHEMBL893122,CHEMBL1147988
CHEMBL14553,CCC(=O)c1ccc2c(c1)sc(=O)n2C(=O)CC,26,670.0,CHEMBL,CHEMBL805222,CHEMBL1131315
,CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C,(+)-pentaz.,1440.0,Literature,CHEMBL805218,CHEMBL1131505
,COc1cccc2c1CC(N1CCN(C3CCCCC3)CC1)CC2C,29,7.9,Literature,CHEMBL807586,CHEMBL1148440
,COc1cccc2c1CCC[C@H]2CCCN1CCN(C2CCCCC2)CC1,(+)-S-PB28,1.18,NewLiterature,,10.1038/s41598-023-39663-w
CHEMBL143950,c1ccc(CCN2CCN(c3ccccn3)CC2)cc1,17,119.0,Literature,CHEMBL808278,CHEMBL1135051
CHEMBL75228,c1ccc(CCN2CCCCC2)cc1,9,112.0,CHEMBL,CHEMBL808278,CHEMBL1135051
